country,slope_p25,slope_p50,slope_p75,slope_mid,concavity,n_stud,n_school,pv_math_mean,hwk_mean,study_mean,escs_mean,east_asia,nordic,oecd,region,n_schools,schsize_mean,stratio_mean,private_share,abgmath_mean,stubeha_mean,mactiv_mean,edushort_mean,clsize_mean,escs_btw_var,exam_pressure_z,stratification_z,resource_z
ALB,27.835430325844868,20.9685537238268,1.8520301662520635,16.885338071974576,25.983400159592804,6129,274,368.2217199510451,2.475558729056317,7.258626332769837,-0.7514551558746204,0,0,0,Non-OECD,274,571.1465903504906,13.632301720570304,0.12129647510218354,2.2317799153350473,-0.8235781668272544,2.790036636280734,0.31893377794541133,28.834029087070444,0.3716600185136676,1.9104249612930464,0.14362814579694866,-0.26508344722328336
ARE,11.92477200665445,6.7639054367379,-7.678667066604419,3.6700034589293105,19.60343907325887,24600,840,431.110476583555,2.2825594957706796,6.696601006305515,0.2966563804048203,0,0,0,Non-OECD,840,1778.306622806586,14.707107233256881,0.6053587539369982,2.5278601242358194,-0.73193805287612,3.6389474919786515,-0.545314018139857,29.96567968026845,0.14283838392080375,3.765664923148413,1.2793300013336428,1.0809214593530547
ARG,5.368827056172222,2.605093497983489,-5.061519932363865,0.9708002072639488,10.430346988536089,12111,457,377.5290286484539,2.0655377541850366,4.332525608299544,-0.80197375331075,0,0,0,Non-OECD,457,589.1939563582706,8.656224914433166,0.31504176432880443,2.1910772817908843,0.1992725134369708,1.1596165233376448,0.3465021326873187,29.880685411685022,0.4868188548901656,-2.233407133821377,1.8785269111371568,0.6266025657294464
AUS,31.46754961063516,31.46754961063516,21.058218661665705,27.997772627645343,10.409330948969457,13437,743,487.0842535121308,1.719423274134379,3.638051682524994,0.379366600098662,0,0,1,OECD (other),743,1154.9420551006035,12.770519198501264,0.43278548057087585,2.4378939391437235,-0.01971624325479073,2.8745735287065868,-0.6936218038741679,24.6176533117183,0.2070070391423163,1.064762604047893,0.7666313258247471,1.7130421323981007
AUT,-10.958727843344091,-10.958727843344091,-11.016370448833982,-10.977942045174055,0.05764260548989064,6151,302,487.2674989673573,1.5885567276975396,5.360072568795921,0.06906735838519015,0,0,1,OECD (other),302,670.4317597754884,10.074838056982967,0.13576432053833895,1.4266702686694106,0.31598300440112176,1.6806026338673774,-0.4696659709313023,22.154679426797674,0.3096700599642259,-4.746138223502782,-0.16396808729232037,1.8213952618932243
BEL,10.95977958449066,10.95977958449066,4.861249714354244,8.926936294445188,6.0985298701364155,8286,285,489.486816744945,1.7900176269766177,5.286193200944396,0.08287633453443578,0,0,1,OECD (other),285,823.9022589575455,9.382948179619602,0.6241673380229921,2.0183970766315262,NA,1.7435164863795805,-0.20308715841332106,20.252659868416938,0.2511268680663736,NA,2.0491328336519428,1.4743718504629726
BGR,16.71389778115997,12.060043848986254,-1.0994051306827828,9.224845499821148,17.813302911842754,6107,202,417.3039003748683,1.9631752563199816,5.608333426278016,-0.27220649375191536,0,0,0,Non-OECD,202,640.1249405464508,11.491413931431262,0.021458037180583648,1.8495582380431475,-0.4264224454696205,2.7942340267156545,-0.5822604449537085,27.531467570197044,0.4683076954030201,-0.35169329443127073,0.21564251102890908,1.7553243191268697
BRA,12.499479060861688,8.517472286426084,-2.669640146493464,6.115770400264769,15.169119207355152,10798,598,378.69136694698255,2.007791880195702,5.940841550429903,-0.9914729633663948,0,0,0,Non-OECD,598,831.780138384111,25.69834253573148,0.13644828500750464,2.0670939166832842,0.41226247488645706,1.8188599262820082,-0.2913345317152495,35.91234160509952,0.4518792167529976,-2.4117170482347037,0.7203178735949508,-1.4530997544007582
BRN,15.607407620107494,14.192676104318366,9.64618157255677,13.14875509899421,5.961226047550724,5576,54,442.0931044709813,2.364470924069152,5.546493405243322,-0.25725751169077976,0,0,0,Non-OECD,54,873.8445397714853,7.989981963403317,0.17809357218318453,2.1354810297977678,-0.3414582140333408,3.142445460751567,0.1635147635757623,24.665282115148454,0.20880484357991885,0.9210957391887038,-0.5653823489802725,1.080635589900854
CAN,8.35363637182536,8.35363637182536,3.749525722696035,6.818932822115585,4.604110649129325,23073,863,496.947894435704,1.8887408162888757,4.565183976149832,0.3811020834349589,0,0,1,OECD (other),863,NA,NA,0.07951170139240073,2.261356175545647,0.5600103151330116,2.6916360932191026,-0.7406545087689065,NA,0.10724881155101047,-1.0281403623199525,-1.7141858028607517,NA
CHE,-14.440780916351857,-14.440780916351857,-14.440780916351857,-14.440780916351857,0,6829,260,507.9905864487029,1.3451965283124816,4.562115053119256,0.16916674411868815,0,0,1,OECD (other),260,770.1073441766679,12.452441063393657,0.030796027764609192,2.2067597486420327,0.02420828594995638,1.5331864255954692,-0.8024427622604178,19.84437438208893,0.1981903927360068,-1.3862345196088741,-1.4079065908898791,1.9682749901922687
CHL,6.977667524533331,4.039121201705598,-4.271397723609937,2.2484636675429974,11.249065248143268,6488,230,411.696570708096,2.112364902596471,4.357181974737724,-0.5086492927143373,0,0,1,OECD (other),230,946.1300149452796,18.37493661391773,0.62586146935579,1.8808185488205724,0.4640028395372875,2.077002308905386,-0.2774551140500442,35.8530463466593,0.3541021202953199,-2.9271148434994423,2.6957766110603036,-0.0929333348265684
COL,11.32894896764833,10.13071602057164,6.213545788297552,9.224403592172507,5.1154031793507775,7804,262,382.6968351295673,2.452004781987848,7.273081926095533,-1.0651248666066755,0,0,1,OECD (other),262,1404.7300848984798,25.102589369916537,0.19533742365088244,2.36096227301376,0.34921919895595654,1.14883557335638,0.6991210374141479,34.06475427703683,0.6465611363407257,-1.931371512077555,2.236511130139865,-3.115950110401557
CZE,-13.761398049200864,-13.761398049200864,-14.271098333236694,-13.931298143879474,0.50970028403583,8460,430,486.9992078519244,1.5273766905049355,4.382208456377484,-0.10408606887443415,0,0,1,OECD (other),430,521.1973813168828,13.241301159691325,0.08869784148891549,2.0476774996528087,-0.1498060933919457,2.601700654390062,-0.1383503252542728,24.052077805614378,0.265180321144775,-0.4164316861937173,-0.6876965727361238,0.6286072946766387
DEU,-12.34454282353778,-12.34454282353778,-12.788846924826371,-12.492644190633978,0.44430410128859066,6116,257,474.82645390785706,1.5588305423121682,4.797468894361279,-0.13699001801812014,0,0,1,OECD (other),257,731.4402387771771,13.974684795063117,0.03690624372863521,2.0395147572199805,0.043016408570093895,2.4641572138652448,-0.06748022149892563,24.676498584932357,0.31941604328646733,-1.0099054155910303,-0.6249522278212627,0.3628612668005579
DNK,-6.215996931853624,-6.215996931853624,-9.51793409394503,-7.316642652550759,3.3019371620914058,6200,347,489.273876942411,1.3917429788696392,3.413384650797833,0.4760777394194428,0,1,1,Nordic,347,542.8124411737085,12.44484796991672,0.24415153821166172,2.6658940611722297,-0.5815085337584461,1.1452458525818205,-0.7981917208844191,21.764601742022183,0.10762832376352383,1.1769923200174963,-0.8435883480282886,1.9620904874207323
DOM,10.530695266179578,8.553575007638244,2.8527657744858175,7.312345349434547,7.67792949169376,6868,253,339.1072467325859,2.319061468482985,7.36658677171366,-0.7096963763568349,0,0,0,Non-OECD,253,584.5450106624487,22.1493685048842,0.19518265695653245,2.4508109968383347,-0.09479581848454127,1.9438443350649852,0.3722966455888251,31.47514594339745,0.2540846632169397,0.23358721082777353,-0.1948502680793959,-1.9715429809646876
ESP,0.6743757640579133,-4.019716386549987,-4.019716386549987,-2.4550190030140207,4.694092150607901,30800,966,473.14020802460686,1.8288718613497408,5.793564855244574,-0.03319949726493251,0,0,1,OECD (other),966,789.4517864501859,11.582414051711464,0.32286510801055146,2.2710920763060924,-0.20572560968451117,1.4377152759391751,-0.2949715639762642,26.09817930305595,0.23920992387715254,-0.7648425497587166,0.38638095791020183,1.2231104435793332
EST,-13.370443705198229,-13.370443705198229,-13.944303030637514,-13.561730147011325,0.573859325439285,6392,196,509.94695322476144,1.7626099144226757,5.790472052348895,0.15072518810963964,0,0,1,OECD (other),196,690.9628065446076,11.91676301215685,0.05390800198018227,2.279104598530823,0.35096222626847956,2.6504254761578103,-0.12844025513301685,22.46366233098993,0.1594852845316142,-0.5640095674077781,-1.5257175876952545,0.8613468996582179
FIN,-11.846229041238985,-11.846229041238985,-11.846229041238985,-11.846229041238985,0,10239,241,484.1392256377669,1.2847515491380772,4.944424426838878,0.25848283679375944,0,1,1,Nordic,241,526.957906073404,10.902244759755341,0.0472487133764035,1.7524793924511575,0.23523949085782686,1.6408587103507652,-0.56589983705701,19.86406746939706,0.09134810474315906,-3.405834046484334,-1.9827989789417733,1.8374230227830264
FRA,4.381543678986986,4.381543678986986,-1.6643195979575012,2.3662559200054907,6.045863276944488,6770,282,473.9444184205984,1.6591948075720755,5.671910374913132,1.853907930411522e-4,0,0,1,OECD (other),282,986.5672731868225,12.278405886561268,0.22502118374273236,1.879784676877729,0.28330033839733354,1.8793150409494843,-0.4031250391525495,29.687927297376444,0.26476879463250935,-2.767765933361015,0.02867179876328066,1.2853596626895962
GBR,11.409624901851204,11.409624901851204,6.859633531713598,9.892961111805336,4.549991370137606,12972,451,488.9750850657636,1.6697859106769315,4.57506831913655,0.13638065860924,0,0,1,OECD (other),451,1102.258049792287,15.64715429007839,0.6733696995014972,2.7109877436488943,-0.20771091497264585,3.8387162402962463,-0.32235107919962847,25.74120235515004,0.19662639681029687,3.5569885218729484,1.9710943024242256,0.503443430889709
GEO,21.075678202187305,16.98206374490985,5.202858460298955,14.420200135798703,15.87281974188835,6583,267,390.02422032168255,2.1750121523352903,6.788893139098487,-0.46609404448686065,0,0,0,Non-OECD,267,825.0566243651668,13.759759439511148,0.09172142742611554,2.18854859192728,-1.2392725166665381,2.2676495028459436,0.12729867371016987,23.619878227283763,0.21593895564405668,2.0494119190425995,-0.9766953936104324,0.054342284865062596
GRC,24.756620755776396,15.82287255609333,-8.481264309443077,10.69940966747555,33.23788506521947,6403,230,430.14632185328054,2.0976177773775357,5.843393578123667,-0.154869593520961,0,0,1,OECD (other),230,274.48870358724724,8.702237777949929,0.057255772087957554,1.5820917455287895,-0.04779018298224143,1.2432886255275306,0.6437595548032213,23.660577822002523,0.21937682219555046,-3.882804193214296,-1.1371638396446164,0.08502702346475588
GTM,19.163483032077806,14.1025621320112,0.01254383811942716,11.092863000736145,19.15093919395838,5190,290,344.19948813728763,2.4304444134531966,7.468924426280401,-1.5128962163908557,0,0,0,Non-OECD,290,279.82732166730517,22.54602585576538,0.4911878202968226,2.2503869299651065,NA,1.2496568182177101,0.04418748992905555,26.63008309071514,0.7886267656342595,NA,4.676502519358223,-1.4583821051512715
HKG,21.09493990197609,13.009548855442176,-9.502062026707108,8.200808910237052,30.5970019286832,5907,163,540.3518012286893,2.168914664953165,6.188007415487234,-0.4618579371911637,1,0,0,East Asia,163,714.5018399549145,11.304241561152574,0.9109287550611336,2.2310556755399906,-0.9709027720473719,4.427656082528413,NA,26.724476371797483,0.2897957230727047,4.048338765001192,3.8008724390145696,NA
HRV,17.370721103543872,11.38963578630387,11.38963578630387,13.383330892050536,5.981085317240002,6135,180,463.10518936749145,1.849605300005941,6.068497240941826,-0.1519635999117231,0,0,0,Non-OECD,180,494.2828406130741,9.213054910080702,0.030412601646512685,2.3598044450156754,0.4501156004969118,2.9672837252447666,0.23824397581246037,21.529995106132034,0.16474010507304176,-0.12050152288718341,-1.6170810159287874,0.715358574930776
HUN,0.6740516506251879,0.6740516506251879,-6.418931009260973,-1.690275902670199,7.092982659886161,6198,262,472.77612237193995,1.6666886211272955,5.533881017291251,0.00297822717063948,0,0,1,OECD (other),262,557.094667394305,11.24576262479422,0.2703059804442245,2.0244982773592923,-0.7122612588545127,3.261569230991696,0.30864330889659464,26.47993893781999,0.4199055838097333,1.428419875157807,1.228224198816726,0.20472038538954912
IDN,7.946067837824785,8.900114163131093,10.775510625350876,9.207230875435584,-2.829442787526091,13439,410,365.5252538715769,2.1220405476236546,5.964119144805673,-1.555847023396357,0,0,0,Non-OECD,410,633.4384145238438,18.136378203903075,0.3731699983118662,2.08067700832923,-0.5403536672765465,2.422459912102113,0.413793510781081,32.219372481819676,0.37589750248526843,0.33595897360459226,1.4981543350209185,-1.2869704515641636
IRL,8.098287498284321,8.098287498284321,2.5165610097461126,6.237712002104918,5.581726488538209,5569,170,491.6482795918827,1.4825915953918989,4.045410662712019,0.3329791371384958,0,0,1,OECD (other),170,696.7218583010792,12.412020914792723,NA,2.5851256155486015,-0.399617754950254,2.561470761871364,-0.6596795124926289,24.652542566003536,0.12674384384324275,2.0704869181985845,NA,1.719997456503183
ISL,-7.097620606972498,-7.097620606972498,-6.140943653912018,-6.778728289285671,-0.9566769530604802,3360,134,458.91401434518576,1.549673632365154,3.547236819458316,0.3781051237992792,0,1,1,Nordic,134,448.8261666259434,10.837664310941062,NA,2.503694298533167,-0.10641349799826602,2.155005831124265,-0.5170543713694722,20.346211157519235,0.08846434455153289,0.690844413295729,NA,1.762074902220812
ISR,9.829397318063002,8.100450886453075,2.9635834668434313,6.964477223786503,6.8658138512195706,6251,193,457.8966665933152,2.084157217899844,4.589351469380938,0.27995699607366575,0,0,1,OECD (other),193,781.1576767694421,10.860078614264498,NA,2.4521941501857887,0.11128081512902588,2.8147554954284875,0.22506269309662622,30.153188656646943,0.2708919502127992,0.7729990963892417,NA,0.42749262005291366
ITA,12.138455374678983,6.948545776254832,-7.36841958367927,3.906193855751515,19.506874958358253,10552,344,471.2594754762866,2.134724514419104,6.4506535135548795,-0.10021047625315677,0,0,1,OECD (other),344,884.4581436128504,8.09927722277387,0.039325400702338385,1.842497080546879,-0.25298380473776716,2.393369905960827,-0.20551313364024418,23.89528793027,0.22573196084671301,-1.1937734141065712,-1.1923653475510727,1.721496399081122
JAM,16.25257131812367,11.118882483916366,-3.36913419510131,8.000773202312908,19.62170551322498,3873,147,377.4169392186348,2.232627723331449,5.4250861716630965,-0.5503355620693652,0,0,0,Non-OECD,147,1223.8214433775993,16.63958153403531,0.02563680731675059,2.2051415698329344,0.7000564453793633,3.194305379094907,1.0213403611539293,35.370206390025686,0.14931838689723795,-0.9739188696693015,-1.737770999910274,-2.092995368755249
JOR,0.9637717813307064,-0.3510327499241157,-3.963697765673317,-1.1169862447555754,4.927469547004024,7799,260,361.2280283665785,2.084916711686655,7.121987312284525,-0.8164571700685548,0,0,0,Non-OECD,260,793.2953030841628,19.53850097088372,0.19533899270622504,2.4895955433189454,0.41528531256786266,1.8642913430525494,0.6288497382425633,33.80918999699389,0.2683788710865917,-0.7942442012853219,-0.10550402688268982,-1.9376652237574854
KAZ,13.161927345355082,8.533505112121588,-4.371399050890773,5.774677802195299,17.533326396245855,19769,571,425.4391288356629,1.9329348074541597,7.582092170202877,-0.3723667452209884,0,0,0,Non-OECD,571,1164.9878884375908,11.71614693755402,0.09555167211469823,2.573029084825601,NA,3.8359346005731627,-0.001983397905018463,22.86350942526282,0.15131971505126265,NA,-1.3566729740350825,0.6725979636782663
KHM,7.181040571263907,4.494874646425615,-2.945644724829606,2.9100901642866384,10.126685296093513,5279,183,336.39604125930657,2.290104860018195,7.156072649907612,-2.0113231811312,0,0,0,Non-OECD,183,1396.3767312172458,24.34747664458233,0.06406245645657385,2.182796922454395,0.17387758644575993,2.341924769587766,0.8495405840080252,42.715629323476534,0.4355689427128378,-0.8907726934385041,0.23757587818619996,-3.2427855591267942
KOR,31.647813873581526,13.76158776921477,2.9297109788800526,16.113037540558782,28.71810289470147,6454,186,527.3025017804584,2.8306867358374466,5.393015038589826,0.22438568549861265,1,0,1,East Asia,186,672.4085538246104,11.724466629443787,0.3088403376802281,1.9508336428454833,-0.11276167615060931,3.689599999879885,0.06078302172722242,25.321725663323313,0.1417182016339991,0.35844268150083325,-0.29133122759957386,0.558507370499865
