country,input,layer,slope,region
ALB,hwk_h,L0,0.06653666157882017,Non-OECD
ALB,hwk_h,L1,0.0499189301815797,Non-OECD
ALB,hwk_h,L2,0.056147198556306725,Non-OECD
ALB,SDLEFF,L0,0.08704703064653212,Non-OECD
ALB,SDLEFF,L1,0.06667900400829836,Non-OECD
ALB,SDLEFF,L2,0.09487695776325634,Non-OECD
ALB,MATHEFF,L0,0.22447825414316427,Non-OECD
ALB,MATHEFF,L1,0.19306847505142347,Non-OECD
ALB,MATHEFF,L2,0.2190131130344331,Non-OECD
ALB,MATHMOT,L0,-0.12160828932081723,Non-OECD
ALB,MATHMOT,L1,-0.08007071157230988,Non-OECD
ALB,MATHMOT,L2,-0.18489593277420643,Non-OECD
ARE,hwk_h,L0,-0.06204643571085185,Non-OECD
ARE,hwk_h,L1,-0.05646649488344479,Non-OECD
ARE,hwk_h,L2,-0.06539298553394263,Non-OECD
ARE,SDLEFF,L0,0.16814394819981768,Non-OECD
ARE,SDLEFF,L1,0.12357334846178095,Non-OECD
ARE,SDLEFF,L2,0.13802253410661303,Non-OECD
ARE,MATHEFF,L0,0.3289551504513605,Non-OECD
ARE,MATHEFF,L1,0.28234262167004354,Non-OECD
ARE,MATHEFF,L2,0.3297228464140891,Non-OECD
ARE,MATHMOT,L0,-0.3184195644616636,Non-OECD
ARE,MATHMOT,L1,-0.21592087495975149,Non-OECD
ARE,MATHMOT,L2,-0.3309827986810645,Non-OECD
ARG,hwk_h,L0,-0.025202194940868332,Non-OECD
ARG,hwk_h,L1,-0.02669754631876792,Non-OECD
ARG,hwk_h,L2,-0.03775600099755522,Non-OECD
ARG,SDLEFF,L0,0.16027578500565676,Non-OECD
ARG,SDLEFF,L1,0.09524606098716977,Non-OECD
ARG,SDLEFF,L2,0.09785865845017722,Non-OECD
ARG,MATHEFF,L0,0.21783627324960236,Non-OECD
ARG,MATHEFF,L1,0.1716163423898711,Non-OECD
ARG,MATHEFF,L2,0.1920597896820103,Non-OECD
ARG,MATHMOT,L0,-0.040675622643987594,Non-OECD
ARG,MATHMOT,L1,-0.038958402071610214,Non-OECD
ARG,MATHMOT,L2,-0.07563225345184264,Non-OECD
AUS,hwk_h,L0,0.13902619660257368,OECD (other)
AUS,hwk_h,L1,0.10762570359717866,OECD (other)
AUS,hwk_h,L2,0.10495785069894495,OECD (other)
AUS,SDLEFF,L0,0.2278717041893322,OECD (other)
AUS,SDLEFF,L1,0.14976326060876113,OECD (other)
AUS,SDLEFF,L2,0.14911560919606293,OECD (other)
AUS,MATHEFF,L0,0.5005900047846265,OECD (other)
AUS,MATHEFF,L1,0.4326085612774465,OECD (other)
AUS,MATHEFF,L2,0.45870210995224114,OECD (other)
AUS,MATHMOT,L0,0.09367666746154207,OECD (other)
AUS,MATHMOT,L1,0.0916328185155811,OECD (other)
AUS,MATHMOT,L2,0.09298280534691174,OECD (other)
AUT,hwk_h,L0,-0.16048546756542753,OECD (other)
AUT,hwk_h,L1,-0.11837595322200473,OECD (other)
AUT,hwk_h,L2,-0.13365699205462908,OECD (other)
AUT,SDLEFF,L0,0.2145615614851167,OECD (other)
AUT,SDLEFF,L1,0.15665794740129307,OECD (other)
AUT,SDLEFF,L2,0.16540231001845912,OECD (other)
AUT,MATHEFF,L0,0.3922351663456739,OECD (other)
AUT,MATHEFF,L1,0.3042636339083963,OECD (other)
AUT,MATHEFF,L2,0.3145514834076122,OECD (other)
AUT,MATHMOT,L0,0.004102385126360196,OECD (other)
AUT,MATHMOT,L1,-0.0030635836987748626,OECD (other)
AUT,MATHMOT,L2,-0.048980678153006656,OECD (other)
BEL,hwk_h,L0,0.02759324439739515,OECD (other)
BEL,hwk_h,L1,-0.011649071695696981,OECD (other)
BEL,hwk_h,L2,-0.028072179436518296,OECD (other)
BEL,SDLEFF,L0,0.14379776100520655,OECD (other)
BEL,SDLEFF,L1,0.07606014132075739,OECD (other)
BEL,SDLEFF,L2,0.07657777167885974,OECD (other)
BEL,MATHEFF,L0,0.344718164404174,OECD (other)
BEL,MATHEFF,L1,0.259235746193428,OECD (other)
BEL,MATHEFF,L2,0.2630841002951141,OECD (other)
BEL,MATHMOT,L0,0.24084982349989484,OECD (other)
BEL,MATHMOT,L1,0.1553328585361006,OECD (other)
BEL,MATHMOT,L2,0.16755651537002722,OECD (other)
BGR,hwk_h,L0,0.04049640166695355,Non-OECD
BGR,hwk_h,L1,0.01814794220761191,Non-OECD
BGR,hwk_h,L2,0.03164499293327968,Non-OECD
BGR,SDLEFF,L0,0.2027970850401218,Non-OECD
BGR,SDLEFF,L1,0.11715124962123004,Non-OECD
BGR,SDLEFF,L2,0.1403259015465995,Non-OECD
BGR,MATHEFF,L0,0.26973076881479885,Non-OECD
BGR,MATHEFF,L1,0.1988935828224405,Non-OECD
BGR,MATHEFF,L2,0.2316050480673391,Non-OECD
BGR,MATHMOT,L0,0.06092594940470192,Non-OECD
BGR,MATHMOT,L1,0.013513574089061309,Non-OECD
BGR,MATHMOT,L2,0.002642782959672294,Non-OECD
BRA,hwk_h,L0,0.00753769993443201,Non-OECD
BRA,hwk_h,L1,0.004785344939832228,Non-OECD
BRA,hwk_h,L2,0.0016233303489831292,Non-OECD
BRA,SDLEFF,L0,0.04349354402672583,Non-OECD
BRA,SDLEFF,L1,0.0019060479411422916,Non-OECD
BRA,SDLEFF,L2,-0.0034783570269177285,Non-OECD
BRA,MATHEFF,L0,0.2013445070549919,Non-OECD
BRA,MATHEFF,L1,0.15218109599506097,Non-OECD
BRA,MATHEFF,L2,0.18439006676086822,Non-OECD
BRA,MATHMOT,L0,0.06496805602372924,Non-OECD
BRA,MATHMOT,L1,0.08176373570645115,Non-OECD
BRA,MATHMOT,L2,0.10719629248973932,Non-OECD
BRN,hwk_h,L0,0.08377466049042022,Non-OECD
BRN,hwk_h,L1,0.05994941882868409,Non-OECD
BRN,hwk_h,L2,0.054652918303165335,Non-OECD
BRN,SDLEFF,L0,0.17108757637566516,Non-OECD
BRN,SDLEFF,L1,0.1036670970283304,Non-OECD
BRN,SDLEFF,L2,0.1130699225342397,Non-OECD
BRN,MATHEFF,L0,0.48542059929179826,Non-OECD
BRN,MATHEFF,L1,0.394395205990118,Non-OECD
BRN,MATHEFF,L2,0.41495375307449467,Non-OECD
BRN,MATHMOT,L0,-0.34617944866862604,Non-OECD
BRN,MATHMOT,L1,-0.1995440196200926,Non-OECD
BRN,MATHMOT,L2,-0.19983020954838698,Non-OECD
CAN,hwk_h,L0,-0.02043753632848968,OECD (other)
CAN,hwk_h,L1,-0.02884057001910835,OECD (other)
CAN,hwk_h,L2,-0.04241350000902555,OECD (other)
CAN,SDLEFF,L0,0.16461390421732774,OECD (other)
CAN,SDLEFF,L1,0.10921954826997485,OECD (other)
CAN,SDLEFF,L2,0.11070958371720825,OECD (other)
CAN,MATHEFF,L0,0.41461911213257424,OECD (other)
CAN,MATHEFF,L1,0.36453745104300583,OECD (other)
CAN,MATHEFF,L2,0.3791757283268835,OECD (other)
CAN,MATHMOT,L0,0.08079291077497916,OECD (other)
CAN,MATHMOT,L1,0.07516123390438398,OECD (other)
CAN,MATHMOT,L2,0.12890727004001096,OECD (other)
CHE,hwk_h,L0,-0.2195255490035068,OECD (other)
CHE,hwk_h,L1,-0.17104165652694336,OECD (other)
CHE,hwk_h,L2,-0.17524161296102256,OECD (other)
CHE,SDLEFF,L0,0.19912390688893614,OECD (other)
CHE,SDLEFF,L1,0.12443879202161959,OECD (other)
CHE,SDLEFF,L2,0.12561262027225661,OECD (other)
CHE,MATHEFF,L0,0.44569421004541504,OECD (other)
CHE,MATHEFF,L1,0.3477666223635608,OECD (other)
CHE,MATHEFF,L2,0.35652322100899275,OECD (other)
CHE,MATHMOT,L0,0.20192251581634257,OECD (other)
CHE,MATHMOT,L1,0.17819841546077536,OECD (other)
CHE,MATHMOT,L2,0.21862267232194893,OECD (other)
CHL,hwk_h,L0,-0.017736038109109165,OECD (other)
CHL,hwk_h,L1,-0.0274300702709424,OECD (other)
CHL,hwk_h,L2,-0.040222481235842565,OECD (other)
CHL,SDLEFF,L0,0.09913337926653762,OECD (other)
CHL,SDLEFF,L1,0.049955516517152146,OECD (other)
CHL,SDLEFF,L2,0.05371269863752119,OECD (other)
CHL,MATHEFF,L0,0.1868039380751787,OECD (other)
CHL,MATHEFF,L1,0.14543527212828047,OECD (other)
CHL,MATHEFF,L2,0.1630609574239377,OECD (other)
CHL,MATHMOT,L0,-0.0029322363628762767,OECD (other)
CHL,MATHMOT,L1,0.029706818327490926,OECD (other)
CHL,MATHMOT,L2,-0.005055176120100416,OECD (other)
COL,hwk_h,L0,0.05006600684558034,OECD (other)
COL,hwk_h,L1,0.017716069342282665,OECD (other)
COL,hwk_h,L2,0.013253331882206705,OECD (other)
COL,SDLEFF,L0,0.17500708254022576,OECD (other)
COL,SDLEFF,L1,0.09698046191886192,OECD (other)
COL,SDLEFF,L2,0.08834100868009914,OECD (other)
COL,MATHEFF,L0,0.21657470007670993,OECD (other)
COL,MATHEFF,L1,0.15143028544999598,OECD (other)
COL,MATHEFF,L2,0.1677494370402205,OECD (other)
COL,MATHMOT,L0,0.10748803561319778,OECD (other)
COL,MATHMOT,L1,0.08889969501002974,OECD (other)
COL,MATHMOT,L2,0.11283348156257414,OECD (other)
CZE,hwk_h,L0,-0.1816676159309578,OECD (other)
CZE,hwk_h,L1,-0.15090975271124732,OECD (other)
CZE,hwk_h,L2,-0.16706570213407243,OECD (other)
CZE,SDLEFF,L0,NA,OECD (other)
CZE,SDLEFF,L1,NA,OECD (other)
CZE,SDLEFF,L2,NA,OECD (other)
CZE,MATHEFF,L0,0.4384725860254055,OECD (other)
CZE,MATHEFF,L1,0.3399935197805577,OECD (other)
CZE,MATHEFF,L2,0.3652836375827556,OECD (other)
CZE,MATHMOT,L0,0.2263648701174418,OECD (other)
CZE,MATHMOT,L1,0.22518282480331978,OECD (other)
CZE,MATHMOT,L2,0.29130016563240024,OECD (other)
DEU,hwk_h,L0,-0.20237525741165854,OECD (other)
DEU,hwk_h,L1,-0.14502592594145816,OECD (other)
DEU,hwk_h,L2,-0.17846178760282305,OECD (other)
DEU,SDLEFF,L0,0.2032531314125623,OECD (other)
DEU,SDLEFF,L1,0.1242650695365257,OECD (other)
DEU,SDLEFF,L2,0.11998323990875882,OECD (other)
DEU,MATHEFF,L0,0.4136364110214997,OECD (other)
DEU,MATHEFF,L1,0.3109286735798061,OECD (other)
DEU,MATHEFF,L2,0.33796635353412313,OECD (other)
DEU,MATHMOT,L0,0.22266055604204796,OECD (other)
DEU,MATHMOT,L1,0.20805791580687133,OECD (other)
DEU,MATHMOT,L2,0.21560012429983286,OECD (other)
DNK,hwk_h,L0,-0.16145398035612446,Nordic
DNK,hwk_h,L1,-0.13858861419858667,Nordic
DNK,hwk_h,L2,-0.14627081403151615,Nordic
DNK,SDLEFF,L0,NA,Nordic
DNK,SDLEFF,L1,NA,Nordic
DNK,SDLEFF,L2,NA,Nordic
DNK,MATHEFF,L0,0.3912367756768446,Nordic
DNK,MATHEFF,L1,0.3505513923696317,Nordic
DNK,MATHEFF,L2,0.3641646334475398,Nordic
DNK,MATHMOT,L0,0.3094090414021197,Nordic
DNK,MATHMOT,L1,0.2708775161770506,Nordic
DNK,MATHMOT,L2,0.2804741417978803,Nordic
DOM,hwk_h,L0,0.027403001605310423,Non-OECD
DOM,hwk_h,L1,0.020391690559419053,Non-OECD
DOM,hwk_h,L2,0.02226575607721976,Non-OECD
DOM,SDLEFF,L0,0.11716039688021886,Non-OECD
DOM,SDLEFF,L1,0.0727675481655193,Non-OECD
DOM,SDLEFF,L2,0.08174841159088915,Non-OECD
DOM,MATHEFF,L0,0.0665508153925977,Non-OECD
DOM,MATHEFF,L1,0.05167661770686547,Non-OECD
DOM,MATHEFF,L2,0.05543219503138751,Non-OECD
DOM,MATHMOT,L0,-0.11416863212725248,Non-OECD
DOM,MATHMOT,L1,-0.041503303971013705,Non-OECD
DOM,MATHMOT,L2,-0.055931081567274624,Non-OECD
ESP,hwk_h,L0,-0.07792724592191994,OECD (other)
ESP,hwk_h,L1,-0.0865754274180835,OECD (other)
ESP,hwk_h,L2,-0.1013178636532734,OECD (other)
ESP,SDLEFF,L0,0.16503911456483952,OECD (other)
ESP,SDLEFF,L1,0.08560807568377261,OECD (other)
ESP,SDLEFF,L2,0.09661192940820951,OECD (other)
ESP,MATHEFF,L0,0.3603938580619143,OECD (other)
ESP,MATHEFF,L1,0.2652945208970112,OECD (other)
ESP,MATHEFF,L2,0.27522226974045577,OECD (other)
ESP,MATHMOT,L0,-0.06293224260724159,OECD (other)
ESP,MATHMOT,L1,0.012666337887777993,OECD (other)
ESP,MATHMOT,L2,-0.03293144927175251,OECD (other)
EST,hwk_h,L0,-0.14710975530417245,OECD (other)
EST,hwk_h,L1,-0.13464070193829772,OECD (other)
EST,hwk_h,L2,-0.16060554995831547,OECD (other)
EST,SDLEFF,L0,0.1927982179008776,OECD (other)
EST,SDLEFF,L1,0.13034027745699373,OECD (other)
EST,SDLEFF,L2,0.12897158142849424,OECD (other)
EST,MATHEFF,L0,0.39907982906843953,OECD (other)
EST,MATHEFF,L1,0.34298439551195203,OECD (other)
EST,MATHEFF,L2,0.3638925224120206,OECD (other)
EST,MATHMOT,L0,0.024267166683310703,OECD (other)
EST,MATHMOT,L1,0.031607818878635945,OECD (other)
EST,MATHMOT,L2,0.027030122202675023,OECD (other)
FIN,hwk_h,L0,-0.18928544428588615,Nordic
FIN,hwk_h,L1,-0.15125660709848557,Nordic
FIN,hwk_h,L2,-0.15397262190432884,Nordic
FIN,SDLEFF,L0,0.2033992061090709,Nordic
FIN,SDLEFF,L1,0.15699974778698522,Nordic
FIN,SDLEFF,L2,0.15515813136555637,Nordic
FIN,MATHEFF,L0,0.3849172207646498,Nordic
FIN,MATHEFF,L1,0.33879565878193746,Nordic
FIN,MATHEFF,L2,0.3592561701664821,Nordic
FIN,MATHMOT,L0,0.3461658916054232,Nordic
FIN,MATHMOT,L1,0.31198945940101297,Nordic
FIN,MATHMOT,L2,0.2919117816195306,Nordic
FRA,hwk_h,L0,-0.07640899432722581,OECD (other)
FRA,hwk_h,L1,-0.06879429880277191,OECD (other)
FRA,hwk_h,L2,-0.08451476722676257,OECD (other)
FRA,SDLEFF,L0,0.14807675169241669,OECD (other)
FRA,SDLEFF,L1,0.08538380520379635,OECD (other)
FRA,SDLEFF,L2,0.09639528769952732,OECD (other)
FRA,MATHEFF,L0,0.4075397384949363,OECD (other)
FRA,MATHEFF,L1,0.3104328030560422,OECD (other)
FRA,MATHEFF,L2,0.3275084207658538,OECD (other)
FRA,MATHMOT,L0,0.07662969922056558,OECD (other)
FRA,MATHMOT,L1,0.08362950697266064,OECD (other)
FRA,MATHMOT,L2,0.08813329468568928,OECD (other)
GBR,hwk_h,L0,0.01551455497366385,OECD (other)
GBR,hwk_h,L1,0.0054146938546361404,OECD (other)
GBR,hwk_h,L2,-0.011675038811106831,OECD (other)
GBR,SDLEFF,L0,0.1342875661971253,OECD (other)
GBR,SDLEFF,L1,0.08533019562600784,OECD (other)
GBR,SDLEFF,L2,0.0958285303298269,OECD (other)
GBR,MATHEFF,L0,0.48213123747497366,OECD (other)
GBR,MATHEFF,L1,0.43017317914411174,OECD (other)
GBR,MATHEFF,L2,0.4226862873839929,OECD (other)
GBR,MATHMOT,L0,0.07498757724902458,OECD (other)
GBR,MATHMOT,L1,0.09790050682751092,OECD (other)
GBR,MATHMOT,L2,0.14197186608476464,OECD (other)
GEO,hwk_h,L0,0.08251902708563229,Non-OECD
GEO,hwk_h,L1,0.0552615207548262,Non-OECD
GEO,hwk_h,L2,0.05489623959090797,Non-OECD
GEO,SDLEFF,L0,0.11971408991989865,Non-OECD
GEO,SDLEFF,L1,0.08766192449577108,Non-OECD
GEO,SDLEFF,L2,0.10647899257898123,Non-OECD
GEO,MATHEFF,L0,0.2899851530617967,Non-OECD
GEO,MATHEFF,L1,0.2503579688457353,Non-OECD
GEO,MATHEFF,L2,0.2870224634903593,Non-OECD
GEO,MATHMOT,L0,0.14854908113046997,Non-OECD
GEO,MATHMOT,L1,0.10904513380176499,Non-OECD
GEO,MATHMOT,L2,0.14617937988475102,Non-OECD
GRC,hwk_h,L0,0.08577237623964283,OECD (other)
GRC,hwk_h,L1,0.04600723832840142,OECD (other)
GRC,hwk_h,L2,0.03019873054290421,OECD (other)
GRC,SDLEFF,L0,0.12609462799998652,OECD (other)
GRC,SDLEFF,L1,0.08718728765346835,OECD (other)
GRC,SDLEFF,L2,0.09267647664595803,OECD (other)
GRC,MATHEFF,L0,0.3405578333576784,OECD (other)
GRC,MATHEFF,L1,0.28759784503232183,OECD (other)
GRC,MATHEFF,L2,0.31107665316857974,OECD (other)
GRC,MATHMOT,L0,-0.0014149766457569918,OECD (other)
GRC,MATHMOT,L1,-0.019719653373807395,OECD (other)
GRC,MATHMOT,L2,-0.034775655870937804,OECD (other)
GTM,hwk_h,L0,0.031148100067155477,Non-OECD
GTM,hwk_h,L1,0.017624553687717176,Non-OECD
GTM,hwk_h,L2,0.0188024255375499,Non-OECD
GTM,SDLEFF,L0,0.11335853526765877,Non-OECD
GTM,SDLEFF,L1,0.06765935241366253,Non-OECD
GTM,SDLEFF,L2,0.0828603929033219,Non-OECD
GTM,MATHEFF,L0,0.11590352819804656,Non-OECD
GTM,MATHEFF,L1,0.08048412306743936,Non-OECD
GTM,MATHEFF,L2,0.09582990259053888,Non-OECD
GTM,MATHMOT,L0,NA,Non-OECD
GTM,MATHMOT,L1,NA,Non-OECD
GTM,MATHMOT,L2,NA,Non-OECD
HKG,hwk_h,L0,0.004179973087555052,East Asia
HKG,hwk_h,L1,-0.01070906186796548,East Asia
HKG,hwk_h,L2,-0.043721163617832196,East Asia
HKG,SDLEFF,L0,0.16659267285955426,East Asia
HKG,SDLEFF,L1,0.11832566642503332,East Asia
HKG,SDLEFF,L2,0.10612412414570137,East Asia
HKG,MATHEFF,L0,0.36255095935895865,East Asia
HKG,MATHEFF,L1,0.3271794028390387,East Asia
HKG,MATHEFF,L2,0.32833331791010206,East Asia
HKG,MATHMOT,L0,0.14156972793683587,East Asia
HKG,MATHMOT,L1,0.1376439072852771,East Asia
HKG,MATHMOT,L2,0.0888085670657874,East Asia
HRV,hwk_h,L0,0.0620857703857408,Non-OECD
HRV,hwk_h,L1,0.03607864392815796,Non-OECD
HRV,hwk_h,L2,0.04611901247041678,Non-OECD
HRV,SDLEFF,L0,0.11204788459813438,Non-OECD
HRV,SDLEFF,L1,0.09248284829951482,Non-OECD
HRV,SDLEFF,L2,0.10107222527842058,Non-OECD
HRV,MATHEFF,L0,0.38829045748446606,Non-OECD
HRV,MATHEFF,L1,0.33463056624896814,Non-OECD
HRV,MATHEFF,L2,0.3469142428186612,Non-OECD
HRV,MATHMOT,L0,0.21672533310083514,Non-OECD
HRV,MATHMOT,L1,0.1923840749617996,Non-OECD
HRV,MATHMOT,L2,0.2616026129760435,Non-OECD
HUN,hwk_h,L0,-0.12743818508963237,OECD (other)
HUN,hwk_h,L1,-0.11226626448878062,OECD (other)
HUN,hwk_h,L2,-0.13154151548000023,OECD (other)
HUN,SDLEFF,L0,0.21881040665813803,OECD (other)
HUN,SDLEFF,L1,0.11972908061878494,OECD (other)
HUN,SDLEFF,L2,0.13240809558169372,OECD (other)
HUN,MATHEFF,L0,0.4527049257236981,OECD (other)
HUN,MATHEFF,L1,0.3439263722012484,OECD (other)
HUN,MATHEFF,L2,0.3560542490083311,OECD (other)
HUN,MATHMOT,L0,0.46548867092111246,OECD (other)
HUN,MATHMOT,L1,0.37905978891401826,OECD (other)
HUN,MATHMOT,L2,0.4484497305810044,OECD (other)
IDN,hwk_h,L0,0.04343424148693921,Non-OECD
IDN,hwk_h,L1,0.03338886479969905,Non-OECD
IDN,hwk_h,L2,0.04178259738879775,Non-OECD
IDN,SDLEFF,L0,0.06731801602976221,Non-OECD
IDN,SDLEFF,L1,0.03571569994460189,Non-OECD
IDN,SDLEFF,L2,0.04885645839066398,Non-OECD
IDN,MATHEFF,L0,NA,Non-OECD
IDN,MATHEFF,L1,NA,Non-OECD
IDN,MATHEFF,L2,NA,Non-OECD
IDN,MATHMOT,L0,-0.029708578495718556,Non-OECD
IDN,MATHMOT,L1,-0.01610427922229861,Non-OECD
IDN,MATHMOT,L2,-0.02949737556233941,Non-OECD
IRL,hwk_h,L0,-0.017031064093998877,OECD (other)
IRL,hwk_h,L1,-0.014354861009458379,OECD (other)
IRL,hwk_h,L2,-0.03880054564415361,OECD (other)
IRL,SDLEFF,L0,0.12482670705940037,OECD (other)
IRL,SDLEFF,L1,0.09216200071474094,OECD (other)
IRL,SDLEFF,L2,0.08172230603720533,OECD (other)
IRL,MATHEFF,L0,0.4118342833543501,OECD (other)
IRL,MATHEFF,L1,0.3601598781117648,OECD (other)
IRL,MATHEFF,L2,0.36586274841226957,OECD (other)
